Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,PartyAbbreviation,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath
0,Paul,Aeby,m,Freiburg,FR,Nationalrat,,,Konservative,Kons*,,,,,6/18/1883,7/18/1898,Freiburg (FR),11/13/1841,7/18/1898
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,12/1/1851,12/1/1852,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,12/7/1857,6/1/1864,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,12/2/1872,5/1/1883,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,4/16/1849,11/1/1849,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,7/4/1853,12/1/1853,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,7/3/1865,6/1/1872,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,7/3/1865,6/1/1872,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,A. Otto,Aepli,m,Thurgau,TG,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,1/27/1919,11/4/1921,"St. Gallen (SG),Diessenhofen (TG)",4/18/1870,11/4/1921
0,Arnold Otto,Aepli,m,St. Gallen,SG,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,12/2/1872,5/1/1883,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,12/2/1872,5/1/1883,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,7/1/1850,6/1/1851,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Arnold Otto,Aepli,m,St. Gallen,SG,Ständerat,Mitte,MC,Liberale,Lib*,,,,,7/3/1865,6/1/1872,"St. Gallen (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
0,Regine,Aeppli Wartmann,f,Zürich,ZH,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Winterthur,Zürich,Kantonsrätin von 1987 bis 1996,12/4/1995,11/30/2003,"Zürich (ZH),Stäfa (ZH),Bauma (ZH)",10/5/1952,
0,Adolf,Aeschbach,m,Aargau,AG,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/6/1943,12/6/1959,Burg (AG),10/8/1888,3/19/1969
0,Ruedi,Aeschbacher,m,Zürich,ZH,Nationalrat,Evangelische und Unabhängige Fraktion,E,Evangelische Volkspartei der Schweiz,EVP,verheiratet,St. Gallen,St. Gallen,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",12/6/1999,11/30/2003,"Zürich (ZH),Trachselwald (BE)",9/15/1941,
0,Ruedi,Aeschbacher,m,Zürich,ZH,Nationalrat,Fraktion CVP/EVP/glp,CEg,Evangelische Volkspartei der Schweiz,EVP,verheiratet,St. Gallen,St. Gallen,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",12/3/2007,5/30/2010,"Zürich (ZH),Trachselwald (BE)",9/15/1941,
0,Ruedi,Aeschbacher,m,Zürich,ZH,Nationalrat,EVP/EDU Fraktion,E,Evangelische Volkspartei der Schweiz,EVP,verheiratet,St. Gallen,St. Gallen,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",12/1/2003,12/2/2007,"Zürich (ZH),Trachselwald (BE)",9/15/1941,
0,Ferdinand,Aeschbacher,m,Zürich,ZH,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/4/1939,12/1/1940,Rüderswil (BE),11/11/1893,1/7/1950
0,Thomas,Aeschi,m,Zug,ZG,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,,Zug,Zug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,12/5/2011,11/29/2015,"Himmelried (SO),Baar (ZG),Basel (BS)",1/13/1979,
1,Thomas,Aeschi,m,Zug,ZG,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,,Zug,Zug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,11/30/2015,,"Himmelried (SO),Baar (ZG),Basel (BS)",1/13/1979,
0,Alfred,Affolter,m,Zürich,ZH,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,11/26/1979,11/27/1983,Leuzigen (BE),5/24/1941,
0,Max,Affolter,m,Solothurn,SO,Ständerat,Freisinnig-demokratische Fraktion,R,,,,,,,11/1/1979,3/1/1991,"Gerlafingen (SO),Olten (SO)",12/30/1923,3/8/1991
0,Hans,Affolter,m,Solothurn,SO,Nationalrat,,,Sozialdemokratische Partei der Schweiz,SP,,,,,12/4/1911,12/11/1930,"Solothurn (SO),Niedergerlafingen (SO)",10/2/1870,9/28/1936
0,Amanz Kaspar,Affolter,m,Solothurn,SO,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/7/1856,9/28/1861,Niedergerlafingen (SO),6/10/1825,9/28/1861
0,Emilio,Agostinetti,m,Tessin,TI,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/1/1947,12/1/1966,Gerra (Gambarogno) (TI),2/27/1912,8/4/1983
0,Pierre,Aguet,m,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Pompaples,Waadt,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987",11/30/1987,12/3/1995,"Sullens (VD),Lutry (VD)",3/2/1938,
0,Pierre,Aguet,m,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Pompaples,Waadt,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987",12/4/1995,12/5/1999,"Sullens (VD),Lutry (VD)",3/2/1938,
0,Mario,Agustoni,m,Tessin,TI,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/6/1943,11/30/1947,Monte (TI),1/3/1902,10/28/1982
0,Mario,Agustoni,m,Tessin,TI,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1963,2/8/1965,Monte (TI),1/3/1902,10/28/1982
0,Giovanni,Airoldi,m,Tessin,TI,Ständerat,Mitte,MC,Partito dei Popolini poi Fusionisti (TI),PdP->Fusio,,,,,7/5/1852,2/1/1853,Lugano (TI),1/23/1823,8/3/1894
0,Giovanni,Airoldi,m,Tessin,TI,Ständerat,Mitte,MC,Partito dei Popolini poi Fusionisti (TI),PdP->Fusio,,,,,7/5/1869,1/1/1874,Lugano (TI),1/23/1823,8/3/1894
0,Erwin,Akeret,m,Zürich,ZH,Nationalrat,"Bauern,-Gewerbe- und Bürgerfraktion",BGB,"Bauern-, Gewerbe- und Bürgerpartei",BGB,,,,,12/5/1955,11/27/1983,"Andelfingen (ZH),Nussbaumen (AG)",1/8/1915,9/12/1987
0,August,Albrecht,m,Nidwalden,NW,Nationalrat,Konservativ-christlichsoziale Fraktion,K,Konservativ-christlichsoziale Volkspartei der Schweiz,KK,,,,,12/4/1967,11/25/1979,Mels (SG),11/16/1907,4/12/1988
0,Hans,Albrecht,m,St. Gallen,SG,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/3/1952,12/6/1959,Mels (SG),10/2/1909,10/20/1995
0,H. Jakob,Albrecht,m,Zürich,ZH,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,1/1/1873,11/1/1874,Stadel (ZH),9/17/1825,6/25/1876
0,Luigi,Albrecht,m,Graubünden,GR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/6/1943,1/24/1955,"Somvix (GR),Lax (VS)",10/24/1889,1/24/1955
0,Jakob,Albrecht,m,Thurgau,TG,Ständerat,Linke,LG,Liberale,Lib*,,,,,12/1/1851,6/1/1855,Müllheim (TG),2/24/1806,7/8/1855
0,Prospero,Albrici,m,Graubünden,GR,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/7/1873,7/1/1874,Poschiavo (GR),3/18/1822,12/14/1883
0,Fredi,Alder,m,St. Gallen,SG,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Winterthur,Zürich,Kantonsrat seit 1988,12/4/1995,12/5/1999,Winterthur (ZH),4/14/1943,
0,Claudius,Alder,m,Basel-Landschaft,BL,Nationalrat,Unabhängige und evangelische Fraktion,U,Landesring der Unabhängigen,LdU,,,,,11/29/1971,11/27/1983,"Schönengrund (AR),Ziefen (BL)",3/28/1938,
0,Peter,Aliesch,m,Graubünden,GR,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,11/28/1983,12/31/1990,"Fanas (GR),Chur (GR)",11/26/1946,
0,Evi,Allemann,f,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,12/5/2011,11/29/2015,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
0,Evi,Allemann,f,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,12/1/2003,12/2/2007,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
0,Evi,Allemann,f,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,12/3/2007,12/4/2011,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
0,Werner,Allemann,m,Aargau,AG,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,9/18/1944,12/1/1963,Farnern (BE),7/25/1902,8/23/1972
1,Evi,Allemann,f,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,11/30/2015,,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
0,Heinz,Allenspach,m,Zürich,ZH,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,11/26/1979,12/3/1995,"Kreuzlingen (TG),Fällanden (ZH)",2/22/1928,
0,Alexis,Allet,m,Wallis,VS,Nationalrat,,,Konservative,Kons*,,,,,12/1/1851,12/1/1872,Leuk (VS),4/9/1820,2/1/1888
0,Walter,Allgöwer,m,Basel-Stadt,BS,Nationalrat,Fraktion des Landesrings,U,Landesring der Unabhängigen,LdU,,,,,12/2/1963,11/25/1979,St. Gallen (SG),8/18/1912,4/16/1980
0,Werner,Allgöwer,m,Luzern,LU,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,6/5/1950,12/4/1955,"St. Gallen (SG),Luzern (LU)",3/24/1879,2/21/1966
0,Alexandre Félix,Alméras,m,Genf,GE,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,11/6/1848,12/3/1854,Genf (GE),1/29/1811,12/11/1868
0,Alexandre Félix,Alméras,m,Genf,GE,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,1/9/1860,12/1/1862,Genf (GE),1/29/1811,12/11/1868
0,Hans,Altherr,m,Appenzell A.-Rh.,AR,Ständerat,Freisinnig-demokratische Fraktion,RL,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,St. Gallen,St. Gallen,Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003),12/3/2007,12/4/2011,Trogen (AR),4/29/1950,
0,Hans,Altherr,m,Appenzell A.-Rh.,AR,Ständerat,FDP-Liberale Fraktion,RL,FDP.Die Liberalen,FDP-Liberale,verheiratet,St. Gallen,St. Gallen,Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003),12/5/2011,11/29/2015,Trogen (AR),4/29/1950,
0,Gustav,Altherr,m,Appenzell A.-Rh.,AR,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/1/1931,12/1/1935,Speicher (AR),8/28/1870,7/18/1954
0,Hermann,Altherr,m,Appenzell A.-Rh.,AR,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/5/1905,12/3/1911,Speicher (AR),2/28/1848,11/4/1927
0,Hans,Altherr,m,Appenzell A.-Rh.,AR,Ständerat,Freisinnig-demokratische Fraktion,RL,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,St. Gallen,St. Gallen,Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003),3/8/2004,12/2/2007,Trogen (AR),4/29/1950,
0,Paul,Altwegg,m,Thurgau,TG,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1935,12/2/1951,"Herrenhof (TG),Frauenfeld (TG)",3/9/1884,7/3/1952
0,Paul,Altwegg,m,Thurgau,TG,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1935,12/2/1951,"Herrenhof (TG),Frauenfeld (TG)",3/9/1884,7/3/1952
0,Johannes,Altwegg,m,Thurgau,TG,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,11/29/1880,11/17/1888,"Herrenhof (TG),Frauenfeld (TG)",11/21/1847,11/17/1888
0,Paul,Altwegg,m,Thurgau,TG,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1935,12/2/1951,"Herrenhof (TG),Frauenfeld (TG)",3/9/1884,7/3/1952
0,Antoine-Joseph,Amacker,m,Wallis,VS,Ständerat,Mitte,MC,,,,,,,6/9/1857,5/1/1859,St-Maurice (VS),7/3/1794,3/17/1862
0,Kathrin,Amacker-Amann,f,Basel-Landschaft,BL,Nationalrat,Fraktion CVP/EVP/glp,CEg,Christlichdemokratische Volkspartei der Schweiz,CVP,verheiratet,Basel,Basel-Stadt,Legislative der Gemeinde: Einwohnerrat Binningen seit Juli 2004; Legislative des Kantons: Landrat von Juli 2007 bis November 2007,12/3/2007,11/28/2010,"Basel (BS),Eischoll (VS)",3/30/1962,
1,Cesla,Amarelle,f,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,Montevideo,,Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011,11/30/2015,,"Winterthur (ZH),Yverdon-les-Bains (VD)",9/14/1973,
0,Cesla,Amarelle,f,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,Montevideo,,Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011,12/5/2011,11/29/2015,"Winterthur (ZH),Yverdon-les-Bains (VD)",9/14/1973,
